,clustering_coef,degree_centrality,closeness_centrality,betweenness_centrality
135424,0,0.00031347962382445143,0.00031347962382445143,0.0
659606,0,0.00031347962382445143,0.00031347962382445143,0.0
134636,0,0.00031347962382445143,0.00031347962382445143,0.0
134639,0,0.00031347962382445143,0.00031347962382445143,0.0
134849,0,0.00031347962382445143,0.00031347962382445143,0.0
134844,0,0.00031347962382445143,0.00031347962382445143,0.0
128888,0,0.00031347962382445143,0.00031347962382445143,0.0
128889,0,0.00031347962382445143,0.00031347962382445143,0.0
129033,0,0.00031347962382445143,0.00031347962382445143,0.0
129034,0,0.00031347962382445143,0.00031347962382445143,0.0
423716,0,0.00031347962382445143,0.00031347962382445143,0.0
423711,0,0.00031347962382445143,0.00031347962382445143,0.0
138462,0,0.00031347962382445143,0.00031347962382445143,0.0
138463,0,0.00031347962382445143,0.00031347962382445143,0.0
131638,0,0.00031347962382445143,0.00031347962382445143,0.0
131639,0,0.00031347962382445143,0.00031347962382445143,0.0
131466,0,0.00031347962382445143,0.00031347962382445143,0.0
131468,0,0.00031347962382445143,0.00031347962382445143,0.0
125085,0,0.00031347962382445143,0.00031347962382445143,0.0
125138,0,0.00031347962382445143,0.00031347962382445143,0.0
129420,0,0.00031347962382445143,0.00031347962382445143,0.0
129439,0,0.00031347962382445143,0.00031347962382445143,0.0
118638,0,0.00031347962382445143,0.00031347962382445143,0.0
118650,0,0.00031347962382445143,0.00031347962382445143,0.0
1164,0,0.00031347962382445143,0.00031347962382445143,0.0
407536,0,0.00031347962382445143,0.00031347962382445143,0.0
683699,0,0.00031347962382445143,0.00031347962382445143,0.0
683700,0,0.00031347962382445143,0.00031347962382445143,0.0
101867,0,0.00031347962382445143,0.00031347962382445143,0.0
101868,0,0.00031347962382445143,0.00031347962382445143,0.0
118986,0,0.00031347962382445143,0.00031347962382445143,0.0
118989,0,0.00031347962382445143,0.00031347962382445143,0.0
119041,0,0.00031347962382445143,0.00031347962382445143,0.0
119042,0,0.00031347962382445143,0.00031347962382445143,0.0
417868,0,0.00031347962382445143,0.00031347962382445143,0.0
685488,0,0.00031347962382445143,0.00031347962382445143,0.0
418014,0,0.00031347962382445143,0.00031347962382445143,0.0
418012,0,0.00031347962382445143,0.00031347962382445143,0.0
416708,0,0.00031347962382445143,0.00031347962382445143,0.0
416709,0,0.00031347962382445143,0.00031347962382445143,0.0
415493,0,0.00031347962382445143,0.00031347962382445143,0.0
415494,0,0.00031347962382445143,0.00031347962382445143,0.0
125693,0,0.00031347962382445143,0.00031347962382445143,0.0
125694,0,0.00031347962382445143,0.00031347962382445143,0.0
415656,0,0.00031347962382445143,0.00031347962382445143,0.0
415657,0,0.00031347962382445143,0.00031347962382445143,0.0
117110,0,0.00031347962382445143,0.00031347962382445143,0.0
657380,0,0.00031347962382445143,0.00031347962382445143,0.0
117419,0,0.00031347962382445143,0.00031347962382445143,0.0
117420,0,0.00031347962382445143,0.00031347962382445143,0.0
657416,0,0.00031347962382445143,0.00031347962382445143,0.0
657423,0,0.00031347962382445143,0.00031347962382445143,0.0
117534,0,0.00031347962382445143,0.00031347962382445143,0.0
117535,0,0.00031347962382445143,0.00031347962382445143,0.0
116454,0,0.00031347962382445143,0.00031347962382445143,0.0
116457,0,0.00031347962382445143,0.00031347962382445143,0.0
118591,0,0.00031347962382445143,0.00031347962382445143,0.0
118595,0,0.00031347962382445143,0.00031347962382445143,0.0
117153,0,0.00031347962382445143,0.00031347962382445143,0.0
117154,0,0.00031347962382445143,0.00031347962382445143,0.0
117217,0,0.00031347962382445143,0.00031347962382445143,0.0
117221,0,0.00031347962382445143,0.00031347962382445143,0.0
117282,0,0.00031347962382445143,0.00031347962382445143,0.0
117283,0,0.00031347962382445143,0.00031347962382445143,0.0
111581,0,0.00031347962382445143,0.00031347962382445143,0.0
111583,0,0.00031347962382445143,0.00031347962382445143,0.0
111702,0,0.00031347962382445143,0.00031347962382445143,0.0
110995,0,0.00031347962382445143,0.00031347962382445143,0.0
118027,0,0.00031347962382445143,0.00031347962382445143,0.0
118029,0,0.00031347962382445143,0.00031347962382445143,0.0
117087,0,0.00031347962382445143,0.00031347962382445143,0.0
117088,0,0.00031347962382445143,0.00031347962382445143,0.0
127679,0,0.00031347962382445143,0.00031347962382445143,0.0
127681,0,0.00031347962382445143,0.00031347962382445143,0.0
125392,0,0.00031347962382445143,0.00031347962382445143,0.0
125395,0,0.00031347962382445143,0.00031347962382445143,0.0
125441,0,0.00031347962382445143,0.00031347962382445143,0.0
125527,0,0.00031347962382445143,0.00031347962382445143,0.0
117916,0,0.00031347962382445143,0.00031347962382445143,0.0
117917,0,0.00031347962382445143,0.00031347962382445143,0.0
117706,0,0.00031347962382445143,0.00031347962382445143,0.0
117705,0,0.00031347962382445143,0.00031347962382445143,0.0
107522,0,0.00031347962382445143,0.00031347962382445143,0.0
107523,0,0.00031347962382445143,0.00031347962382445143,0.0
113872,0,0.00031347962382445143,0.00031347962382445143,0.0
113874,0,0.00031347962382445143,0.00031347962382445143,0.0
208457,0,0.00031347962382445143,0.00031347962382445143,0.0
208459,0,0.00031347962382445143,0.00031347962382445143,0.0
189331,0,0.00031347962382445143,0.00031347962382445143,0.0
189336,0,0.00031347962382445143,0.00031347962382445143,0.0
113447,0,0.00031347962382445143,0.00031347962382445143,0.0
657079,0,0.00031347962382445143,0.00031347962382445143,0.0
5940,0,0.00031347962382445143,0.00031347962382445143,0.0
176572,0,0.00031347962382445143,0.00031347962382445143,0.0
5874,0,0.00031347962382445143,0.00031347962382445143,0.0
211118,0,0.00031347962382445143,0.00031347962382445143,0.0
370725,0,0.00031347962382445143,0.00031347962382445143,0.0
370724,0,0.00031347962382445143,0.00031347962382445143,0.0
371663,0,0.00031347962382445143,0.00031347962382445143,0.0
371664,0,0.00031347962382445143,0.00031347962382445143,0.0
365528,0,0.00031347962382445143,0.00031347962382445143,0.0
365530,0,0.00031347962382445143,0.00031347962382445143,0.0
365742,0,0.00031347962382445143,0.00031347962382445143,0.0
365744,0,0.00031347962382445143,0.00031347962382445143,0.0
365616,0,0.00031347962382445143,0.00031347962382445143,0.0
365618,0,0.00031347962382445143,0.00031347962382445143,0.0
365341,0,0.00031347962382445143,0.00031347962382445143,0.0
365342,0,0.00031347962382445143,0.00031347962382445143,0.0
364593,0,0.00031347962382445143,0.00031347962382445143,0.0
676981,0,0.00031347962382445143,0.00031347962382445143,0.0
369556,0,0.00031347962382445143,0.00031347962382445143,0.0
369557,0,0.00031347962382445143,0.00031347962382445143,0.0
368045,0,0.00031347962382445143,0.00031347962382445143,0.0
368046,0,0.00031347962382445143,0.00031347962382445143,0.0
369496,0,0.00031347962382445143,0.00031347962382445143,0.0
369497,0,0.00031347962382445143,0.00031347962382445143,0.0
364487,0,0.00031347962382445143,0.00031347962382445143,0.0
