#Selection names: Region 2
#Areas (µm^2): 9948849.5
Selection,X,Y,Class,Color
Region 2,6329.554165117178,10093.814193222095,Analysis,#7cec37
Region 2,6309.288167140406,10073.548195245325,Analysis,#7cec37
Region 2,6324.4877236046905,9951.951743531044,Analysis,#7cec37
Region 2,6329.554165117178,9850.621289793538,Analysis,#7cec37
Region 2,6324.4877236046905,9749.29083605603,Analysis,#7cec37
Region 2,6375.152834510031,9617.561385353367,Analysis,#7cec37
Region 2,6425.818177342198,9531.430604043559,Analysis,#7cec37
Region 2,6496.74928622431,9470.632378186418,Analysis,#7cec37
Region 2,6593.01329844933,9409.834152329278,Analysis,#7cec37
Region 2,6653.811524306471,9369.30192444891,Analysis,#7cec37
Region 2,6724.742633188583,9343.96936899624,Analysis,#7cec37
Region 2,6815.939971974291,9303.437257079286,Analysis,#7cec37
Region 2,6897.004427735027,9252.772030210532,Analysis,#7cec37
Region 2,6998.334649545708,9212.239918293577,Analysis,#7cec37
Region 2,7145.26377267607,9136.242135972152,Analysis,#7cec37
Region 2,7302.325778831405,9065.310795163216,Analysis,#7cec37
Region 2,7413.78934752071,8994.37957031769,Analysis,#7cec37
Region 2,7504.986686306419,8958.913899913221,Analysis,#7cec37
Region 2,7631.64981146001,8928.514786984651,Analysis,#7cec37
Region 2,7748.1795897349775,8908.248789007881,Analysis,#7cec37
Region 2,7849.5098115456585,8893.049232543595,Analysis,#7cec37
Region 2,7971.106263259936,8877.849676079311,Analysis,#7cec37
Region 2,8057.237392459986,8852.517004663227,Analysis,#7cec37
Region 2,8133.235174781409,8796.785336281988,Analysis,#7cec37
Region 2,8219.365840127804,8725.854111436463,Analysis,#7cec37
Region 2,8270.031182959972,8665.055827597618,Analysis,#7cec37
Region 2,8340.962291842085,8604.257601740477,Analysis,#7cec37
Region 2,8437.226304067104,8548.525875377532,Analysis,#7cec37
Region 2,8650.020094567093,8452.26203709763,Analysis,#7cec37
Region 2,8847.614328602795,8416.796424674869,Analysis,#7cec37
Region 2,9080.673885152728,8391.463811240492,Analysis,#7cec37
Region 2,9242.8027966742,8401.596868210583,Analysis,#7cec37
Region 2,9450.529913734874,8482.6611500262,Analysis,#7cec37
Region 2,9617.725034842008,8624.523657698956,Analysis,#7cec37
Region 2,9729.188603531313,8746.120109413234,Analysis,#7cec37
Region 2,9810.252595438396,8847.45056315074,Analysis,#7cec37
Region 2,9906.516607663418,8913.315230520366,Analysis,#7cec37
Region 2,10017.980176352725,8979.180013853405,Analysis,#7cec37
Region 2,10093.977958674148,9065.310795163216,Analysis,#7cec37
Region 2,10109.177515138434,9166.641248900722,Analysis,#7cec37
Region 2,10114.243724724094,9278.1045856632,Analysis,#7cec37
Region 2,10109.177515138434,9384.501480913195,Analysis,#7cec37
Region 2,10099.044168259808,9490.89837616319,Analysis,#7cec37
Region 2,10119.310398163405,9607.428386364982,Analysis,#7cec37
Region 2,10124.377071602717,9734.091279591747,Analysis,#7cec37
Region 2,10093.977958674148,9886.086844234595,Analysis,#7cec37
Region 2,10083.844611795525,10038.082408877443,Analysis,#7cec37
Region 2,10078.778402209864,10174.878417056005,Analysis,#7cec37
Region 2,10038.24594240267,10321.807540186368,Analysis,#7cec37
Region 2,10002.780619888441,10473.803104829216,Analysis,#7cec37
Region 2,10007.846829474101,10630.865110984549,Analysis,#7cec37
Region 2,9987.581063424153,10762.594677650626,Analysis,#7cec37
Region 2,9992.647273009814,10838.592459972051,Analysis,#7cec37
Region 2,9987.581063424153,10944.989355222044,Analysis,#7cec37
Region 2,9962.248160081246,11066.585806936322,Analysis,#7cec37
