#Selection names: Region 2
#Areas (µm^2): 9948849.5
Selection,X,Y,Class,Color
Region 2,9911.58328110273,11203.381815114886,Analysis,#7cec37
Region 2,9881.18416817416,11370.576936222018,Analysis,#7cec37
Region 2,9840.651708366966,11547.905172280949,Analysis,#7cec37
Region 2,9810.252595438396,11684.701180459513,Analysis,#7cec37
Region 2,9764.653926045543,11786.031402270195,Analysis,#7cec37
Region 2,9668.390377674174,11856.962975005958,Analysis,#7cec37
Region 2,9521.461022616986,11943.093640352354,Analysis,#7cec37
Region 2,9379.598804852763,11998.82519277018,Analysis,#7cec37
Region 2,9242.8027966742,12054.55720904166,Analysis,#7cec37
Region 2,9126.272554545581,12069.756765505945,Analysis,#7cec37
Region 2,8959.077433438448,12064.690092066634,Analysis,#7cec37
Region 2,8847.614328602795,12059.623418627321,Analysis,#7cec37
Region 2,8771.61654628137,12039.357652577375,Analysis,#7cec37
Region 2,8665.219651031375,11993.75898318452,Analysis,#7cec37
Region 2,8568.955638806356,11932.960757327384,Analysis,#7cec37
Region 2,8462.558743556361,11872.162531470243,Analysis,#7cec37
Region 2,8376.428078209965,11775.898519245222,Analysis,#7cec37
Region 2,8315.629852352828,11684.701180459513,Analysis,#7cec37
Region 2,8249.764953056374,11588.437168234492,Analysis,#7cec37
Region 2,8153.500940831354,11532.705615816665,Analysis,#7cec37
Region 2,8026.8382795314155,11456.70783349524,Analysis,#7cec37
Region 2,7925.507593867082,11411.109164102387,Analysis,#7cec37
Region 2,7829.244045495712,11375.643377734505,Analysis,#7cec37
Region 2,7738.0467067100035,11380.710051173817,Analysis,#7cec37
Region 2,7636.7160210456705,11390.84293419879,Analysis,#7cec37
Region 2,7540.452472674301,11375.643377734505,Analysis,#7cec37
Region 2,7423.922230545682,11360.44382127022,Analysis,#7cec37
Region 2,7342.858006711772,11324.978266829163,Analysis,#7cec37
Region 2,7276.993339342148,11309.77871036488,Analysis,#7cec37
Region 2,7211.128440045696,11294.579153900595,Analysis,#7cec37
Region 2,7150.330214188557,11284.446038948796,Analysis,#7cec37
Region 2,7135.130657724272,11279.37959743631,Analysis,#7cec37
Region 2,7119.931101259987,11264.180040972025,Analysis,#7cec37
Region 2,7059.132875402847,11228.71448653097,Analysis,#7cec37
Region 2,6988.201766520736,11193.248700163087,Analysis,#7cec37
Region 2,6912.203984199313,11152.716704209546,Analysis,#7cec37
Region 2,6846.339084902861,11091.918478352405,Analysis,#7cec37
Region 2,6780.474417533235,11046.319808959552,Analysis,#7cec37
Region 2,6750.075304604665,10990.588024614899,Analysis,#7cec37
Region 2,6694.343520260013,10904.457127341677,Analysis,#7cec37
Region 2,6603.146181474304,10808.19334704348,Analysis,#7cec37
Region 2,6542.347955617164,10711.929566745286,Analysis,#7cec37
Region 2,6476.483288247539,10620.732227959577,Analysis,#7cec37
Region 2,6435.9510603671715,10524.468215734556,Analysis,#7cec37
Region 2,6400.4855059261145,10433.270876948847,Analysis,#7cec37
Region 2,6359.953278045747,10362.339768066735,Analysis,#7cec37
Region 2,6334.620838556489,10255.942872816742,Analysis,#7cec37
Region 2,6329.554165117178,10093.814193222095,Analysis,#7cec37
