,Adipocyte,B cell,Dendritic cell,Endothelial cell,Epithelial cell,Fibroblast,M1 Macrophage,M2 Macrophage,Malignant cell,Mast cell,Megakaryocyte,NK cell,Pan-Myeloid,Pericyte,Plasmacytoid dendritic cell,T cell,Total_Cell_Types
EGFR,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
ENG,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ENPP3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
EOMES,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
EPCAM,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
ERBB2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
ERG,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
ESR1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
FABP4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FAP,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FBLN1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FCER1A,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
FCGR3A,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
FLI1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
FOXA1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
FOXP3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
GATA1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
GATA2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
GATA3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
GZMA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
GZMB,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
HAVCR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
HDC,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ICAM1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
IFNA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
IFNB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
IFNG,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
IGHE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IL10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
IL12A,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
IL12B,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
IL17A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
IL1B,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
IL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
IL2RA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
IL3RA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2
IL6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
IRF4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
IRF5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
IRF7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
IRF8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ITGA2B,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
ITGAM,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
ITGAX,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ITGB1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
ITGB3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
JCHAIN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
KCNJ8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
KDR,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
KIR2DL1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
KIR3DL1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
KIT,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
KLRB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
KLRC1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
KLRC2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
KLRD1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
KLRG1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
KLRK1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
KRT,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
KRT14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
KRT17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
KRT18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
KRT19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
KRT20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
KRT5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
KRT7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
KRT8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
LAG3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
LEF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
LEP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LILRA4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
LPL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MCAM,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2
MKI67,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
MMP11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
MMP7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
MMP9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
MPL,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
MRC1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
MRGPRX2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
MS4A1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MSR1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
MUC1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
MX1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
MYH11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
MZB1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NCAM1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
NCR1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
NCR2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
NCR3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
NOS2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
NOS3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
NOTCH1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
NOTCH3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
NR2F1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
NRP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
PAX5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PDCD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
PDGFB,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
PDGFRA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
PDGFRB,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
PDPN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
PECAM1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
PGR,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
PLIN1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PLIN4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PLVAP,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
POSTN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
PRDM1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PRF1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
